Date,Weight-Kgs
2016-09-25,77.0,1
2016-09-26,76.9,1
2016-09-27,76.4,1
2016-09-28,76.0,1
2016-09-29,75.4,1
2016-09-30,75.4,1
2016-10-01,75.4,1
2016-10-02,75.8,1
2016-10-03,75.7,1
2016-10-04,75.2,1
2016-10-05,75.5,1
2016-10-06,75.5,1
2016-10-07,75.0,1
2016-10-08,74.7,1
2016-10-09,75.5,1
2016-10-10,75.1,1
2016-10-11,74.4,1
2016-10-12,75.4,1
2016-10-13,75.4,1
2016-10-14,74.8,1
2016-10-15,75.1,1
2016-10-16,74.7,1
2016-10-17,74.7,1
2016-10-18,74.3,1
2016-10-19,74.1,1
2016-10-20,74.1,1
2016-10-21,74.1,1
2016-10-22,74.1,1
2016-10-23,74.3,1
2016-10-24,74.6,1
2016-10-25,73.7,1
2016-10-26,73.7,1
2016-10-27,73.4,1
2016-10-28,73.4,1
2016-10-29,73.4,1
2016-10-30,73.9,1
2016-10-31,73.9,1
2016-11-01,74.7,1
2016-11-02,74.1,1
2016-11-03,73.4,1
2016-11-04,73.6,1
2016-11-05,73.1,1
2016-11-06,73.2,1
2016-11-07,73.4,1
2016-11-08,74.0,1
2016-11-09,74.0,1
2016-11-10,73.5,1
2016-11-11,73.0,1
2016-11-12,73.0,1
2016-11-13,73.3,1
2016-11-14,73.5,1
2016-11-15,72.9,1
2016-11-16,72.9,1
2016-11-17,72.9,1
2016-11-18,72.9,1
2016-11-19,72.9,1
2016-11-20,72.9,1
2016-11-21,73.3,1
2016-11-22,72.8,1
2016-11-23,72.4,1
2016-11-24,72.4,1
2016-11-25,72.0,1
2016-11-26,72.1,1
